timestep,csx0,csy0,csx1,csy1, ,cx0,cy0,cx1,cy1, ,nx0,ny0,nx1,ny1, ,bx0,by0,bx1,by1, ,area_cancer_stem_cells,area_cancer_cells,area_normal_cells,area_blood_cells, ,num_cancer_stem_cells,num_cancer_cells,num_normal_cells,num_blood_cells, ,avg_vegf,avg_lactic,avg_o2,avg_glucose
34,27,38,67,82, ,5,21,73,91, ,34,34,66,63, ,1,1,99,94, ,1845,4899,990,9306, ,85,1095,319,6793, ,4.31033,4.0826,21.151,70.5032
35,27,38,67,82, ,5,21,73,91, ,34,34,66,63, ,1,1,99,94, ,1845,4899,990,9306, ,80,1108,319,7007, ,4.2525,4.13431,21.5839,71.9463
36,27,38,67,82, ,5,25,73,92, ,34,34,66,63, ,1,1,99,97, ,1845,4692,990,9603, ,76,1114,319,7171, ,4.16546,4.16942,22.0011,73.3371
37,27,38,67,83, ,5,25,73,94, ,34,34,66,63, ,1,1,99,97, ,1886,4830,990,9603, ,76,1114,319,7329, ,4.10999,4.19795,22.325,74.4167
38,27,38,67,83, ,4,25,73,96, ,34,34,66,63, ,1,1,99,98, ,1886,5040,990,9702, ,78,1123,319,7483, ,4.04033,4.23239,22.6769,75.5898
39,27,38,67,83, ,3,25,73,96, ,34,34,66,63, ,1,1,99,99, ,1886,5112,990,9801, ,77,1134,319,7626, ,4.01747,4.26554,22.9397,76.4656
40,27,38,67,83, ,3,25,73,98, ,34,34,66,63, ,1,1,99,99, ,1886,5254,990,9801, ,77,1134,319,7756, ,3.8802,4.28408,23.3162,77.7207
41,27,38,67,83, ,3,25,73,99, ,34,34,66,63, ,1,1,99,99, ,1886,5325,990,9801, ,77,1112,319,7872, ,3.80017,4.3074,23.5369,78.4563
42,29,38,67,83, ,3,25,73,99, ,34,34,66,63, ,1,1,99,99, ,1794,5325,990,9801, ,75,1094,319,7981, ,3.7359,4.32106,23.7744,79.248
43,29,38,67,83, ,4,25,73,99, ,34,34,66,63, ,1,1,99,99, ,1794,5250,990,9801, ,68,1078,319,8091, ,3.64361,4.3298,24.0133,80.0444
44,29,38,67,83, ,5,25,73,99, ,34,34,66,63, ,1,1,99,99, ,1794,5175,990,9801, ,65,1053,319,8178, ,3.56755,4.35091,24.1908,80.6359
45,29,38,67,83, ,5,25,73,99, ,34,34,66,63, ,1,1,99,99, ,1794,5175,990,9801, ,59,1014,319,8294, ,3.45706,4.35931,24.4178,81.3928
46,29,38,67,83, ,5,25,73,99, ,34,34,66,63, ,1,1,99,99, ,1794,5175,990,9801, ,56,988,319,8372, ,3.36998,4.36903,24.5671,81.8905
47,29,38,67,83, ,5,25,73,99, ,34,34,66,63, ,1,1,99,99, ,1794,5175,990,9801, ,52,955,319,8431, ,3.26948,4.37025,24.705,82.35
48,29,38,67,83, ,5,25,71,99, ,34,34,66,63, ,1,1,99,99, ,1794,5025,990,9801, ,51,916,319,8473, ,3.17665,4.36956,24.8085,82.695
49,29,38,67,83, ,5,30,71,99, ,34,34,66,63, ,1,1,99,99, ,1794,4690,990,9801, ,51,871,319,8522, ,3.09269,4.36964,24.912,83.04
50,29,38,67,83, ,5,30,71,99, ,34,34,66,63, ,1,1,99,99, ,1794,4690,990,9801, ,50,828,319,8564, ,3.00706,4.36952,25.0132,83.3775
51,29,38,67,83, ,5,30,71,99, ,34,34,66,63, ,1,1,99,99, ,1794,4690,990,9801, ,49,796,319,8604, ,2.91303,4.36957,25.113,83.71
